lookup,Value,Action
25,"Alabama,Alaska",ADD
29,Arizona,ADD
27,"Arkansas,American_Samoa",ADD
22,California,ADD
26,Colorado,ADD
28,Connecticut,ADD
33,Delaware,ADD
32,District_of_Columbia,ADD
35,Florida,ADD
42,"Georgia,Iowa",ADD
48,Guam,ADD
44,Hawaii,ADD
43,Idaho,ADD
45,Illinois,ADD
46,Indiana,ADD
57,Kansas,ADD
59,Kentucky,ADD
52,Louisiana,ADD
63,"Maine,Maryland,Nebraska,North_Dakota",ADD
62,"Massachusetts,North_Carolina",ADD
64,"Michigan,New_Hampshire,Ohio",ADD
66,"Minnesota,Missouri,New_Mexico",ADD
67,"Mississippi,Oregon",ADD
68,"Montana,Nevada",ADD
65,"New_Jersey,Oklahoma",ADD
69,New_York,ADD
72,"Pennsylvania,South_Carolina",ADD
77,Puerto_Rico,ADD
74,Rhode_Island,ADD
73,South_Dakota,ADD
86,Tennessee,ADD
89,Texas,ADD
88,"Utah,Vermont",ADD
82,Virginia,ADD
92,Washington,ADD
99,"West_Virginia,Wyoming",ADD
94,Wisconsin,ADD
